LOCAL_DATE,MEAN_TEMPERATURE_CALGARY,MEAN_TEMPERATURE_VANCOUVER,MEAN_TEMPERATURE_WINNIPEG,MEAN_TEMPERATURE_TORONTO,TOTAL_PRECIPITATION_CALGARY,TOTAL_PRECIPITATION_VANCOUVER,TOTAL_PRECIPITATION_WINNIPEG,TOTAL_PRECIPITATION_TORONTO,,,,Month,Year,Date,MONTHLY_TEMPERATURE_CALGARY,MONTHLY_TEMPERATURE_VANCOUVER,MONTHLY_TEMPERATURE_WINNIPEG,MONTHLY_TEMPERATURE_TORONTO,MONTHLY_PRECIPITATION_CALGARY,MONTHLY_PRECIPITATION_VANCOUVER,MONTHLY_PRECIPITATION_WINNIPEG,MONTHLY_PRECIPITATION_TORONTO,,,,Year,Date,YEARLY_TEMPERATURE_CALGARY,YEARLY_TEMPERATURE_VANCOUVER,YEARLY_TEMPERATURE_WINNIPEG,YEARLY_TEMPERATURE_TORONTO,YEARLY_PRECIPITATION_CALGARY,YEARLY_PRECIPITATION_VANCOUVER,YEARLY_PRECIPITATION_WINNIPEG,YEARLY_PRECIPITATION_TORONTO
1/19/1940,-12.8,2.5,-16.1,-14.7,0.3,0,0,0,,,,7,1941,7/1/1941,18.76129032,18.73548387,20.28064516,21.51612903,0.922580645,0.267741935,2.077419355,2.2,,,,1958,1/1/1958,4.532328767,11.5339726,3.388493151,7.548493151,1.01260274,3.093424658,1.324383562,1.392054795
1/20/1940,-17.3,4.2,-12.5,-10.6,0,0,0.3,0,,,,8,1941,8/1/1941,15.61935484,17.12903226,17.75483871,19.49032258,2.574193548,1.522580645,3.087096774,1.267741935,,,,1959,1/1/1959,3.386027397,9.998630137,2.252054795,8.394794521,1.177534247,3.398356164,1.792054795,1.855616438
1/21/1940,-11.4,4.2,-11.7,-5.6,0,0,0,0.3,,,,9,1941,9/1/1941,7.956666667,13.5,12.12666667,16.85666667,1.87,3.946666667,4.99,0.84,,,,1960,1/1/1960,4.094262295,10.10464481,2.733879781,7.681147541,1.019125683,3.085519126,1.09863388,1.889617486
1/22/1940,-16.7,0.9,-12.8,-6.7,0,0,1.3,1.3,,,,10,1941,10/1/1941,6.074193548,10.66129032,5.593548387,9.948387097,0.116129032,4.258064516,1.541935484,2.874193548,,,,1961,1/1/1961,4.727671233,10.63123288,3.395342466,8.126575342,1.074246575,3.746575342,0.881369863,1.874794521
1/23/1940,-21.1,3.4,-18.7,-10,0,0,0,0,,,,11,1941,11/1/1941,1.013333333,7.196666667,-4.663333333,4.66,0.016666667,4.083333333,0.503333333,1.76,,,,1962,1/1/1962,4.499452055,10.22465753,2.273150685,7.484657534,0.781643836,3.127671233,1.985205479,2.277534247
1/24/1940,-22.2,3.3,-21.4,-10.8,0,2,0.5,0.5,,,,12,1941,12/1/1941,-6.416129032,4.303225806,-10.42580645,-1.461290323,0.235483871,4.7,0.551612903,1.325806452,,,,1963,1/1/1963,4.970958904,10.18712329,3.646027397,7.387671233,1.164383562,2.998356164,1.322465753,1.551780822
1/25/1940,-24.5,1.9,-18.1,-9.2,0,0,0,0,,,,1,1942,1/1/1942,-2.235483871,2.851612903,-11.38709677,-5.5,0.541935484,2.080645161,0.516129032,1.203225806,,,,1964,1/1/1964,3.559836066,9.049453552,2.093715847,7.181967213,1.072131148,3.007650273,1.260928962,1.976502732
1/26/1940,-10.6,5.6,-17.2,-13.9,0,9.4,0,0,,,,2,1942,2/1/1942,-9.532142857,4.610714286,-14.8,-7.496296296,1.414285714,1.760714286,0.564285714,1.471428571,,,,1965,1/1/1965,2.404657534,9.604383562,0.966849315,6.470410959,1.616986301,2.765753425,1.443835616,2.299178082
1/27/1940,2.2,8.7,-13.9,-16.4,0,26.2,0,0,,,,3,1942,3/1/1942,-0.719354839,6.109677419,-2.477419355,1.44516129,0.329032258,2.212903226,1.593548387,3.780645161,,,,1966,1/1/1966,2.498630137,9.812876712,0.785753425,6.94630137,1.106027397,3.100547945,1.260273973,1.953972603
1/28/1940,7.3,9.5,-12.3,-9.2,0,14.7,0,1,,,,4,1942,4/1/1942,4.76,9.923333333,4.996666667,8.89,0.23,1.813333333,2.116666667,1.453333333,,,,1967,1/1/1967,3.460821918,10.46136986,1.624383562,6.619178082,0.702465753,3.215890411,1.290684932,2.142739726
1/29/1940,4.2,10,-15.8,-5.6,0,0,0,0,,,,5,1942,5/1/1942,8.396774194,12.60645161,9.464516129,12.91612903,2.209677419,1.287096774,1.187096774,6.729032258,,,,1968,1/1/1968,3.116393443,9.879781421,2.083879781,6.720218579,0.979781421,3.540710383,1.784153005,2.435519126
1/30/1940,0.6,4.7,-5.3,-12,0,0,1.8,0,,,,6,1942,6/1/1942,12.20333333,14.83666667,16.32,17.86,3.146666667,2.78,1.706666667,1.1,,,,1969,1/1/1969,2.520547945,9.469589041,1.993424658,6.940273973,1.172876712,2.596712329,1.503561644,1.828219178
1/31/1940,-4.2,4.7,-8.1,-10,0,0,6.4,0,,,,7,1942,7/1/1942,16.20322581,18.67,18.30322581,20.22258065,4.022580645,1.503225806,5.293548387,3.548387097,,,,1970,1/1/1970,3.109315068,9.434246575,1.459452055,6.796438356,1.089863014,2.397260274,1.648767123,2.066575342
2/1/1940,-10.6,2.8,-10.3,-7,0.3,0,0,5.1,,,,8,1942,8/1/1942,15.17419355,18.46451613,18.01935484,19.66451613,1.751612903,0.261290323,2.464516129,0.925806452,,,,1971,1/1/1971,3.236438356,9.088493151,1.877808219,7.118630137,1.075342466,3.656986301,1.439452055,1.847123288
2/2/1940,-11.4,2.2,-15,-12,0.3,0,0,0,,,,9,1942,9/1/1942,11.18333333,14.17333333,11.36333333,15.15666667,1.546666667,0.136666667,0.946666667,3.326666667,,,,1972,1/1/1972,2.039344262,9.066393443,0.725409836,5.969398907,1.318032787,3.398360656,1.160655738,2.339344262
2/3/1940,-12.5,3.6,-8.9,-5,0.3,2.3,3,0,,,,10,1942,10/1/1942,6.512903226,11.27419355,7.574193548,9.448387097,0.54516129,3.05483871,0.290322581,1.816129032,,,,1973,1/1/1973,3.555616438,9.588219178,3.134520548,8.024657534,0.990410959,2.739178082,1.652876712,2.330684932
2/4/1940,-11.7,6.4,-5.9,-2.2,0,9.9,0,0,,,,11,1942,11/1/1942,-6.113333333,5.313333333,-6.163333333,2.816666667,1.206666667,4.046666667,0.596666667,2.596666667,,,,1974,1/1/1974,4.107671233,9.908767123,1.653424658,6.870958904,0.95260274,3.420273973,1.399452055,2.173424658
2/5/1940,-8.9,7.5,-5,-2.5,0,6.4,0.5,0,,,,12,1942,12/1/1942,-9.009677419,4.864516129,-17.03225806,-5.648387097,0.24516129,5.680645161,1.109677419,3.551612903,,,,1975,1/1/1975,2.897534247,9.154246575,2.446575342,7.771232877,1.011506849,3.616712329,1.631232877,2.164657534
2/6/1940,-8.9,7,-9.7,-1.1,5.6,32,0.5,6.4,,,,1,1943,1/1/1943,-15.50322581,-0.558064516,-22.52580645,-9.132258065,0.761290323,2.187096774,1.180645161,2.287096774,,,,1976,1/1/1976,5.194808743,9.70273224,2.293169399,6.213114754,1.108743169,2.754918033,1.168579235,2.261202186
2/7/1940,-7.8,6.7,-15,-0.8,1.3,0.8,0,0,,,,2,1943,2/1/1943,-3.25,4.625,-14.72142857,-5.246428571,0.692857143,3.221428571,0.667857143,1.742857143,,,,1977,1/1/1977,4.030684932,9.792328767,3.230136986,7.080821918,1.152054795,2.828219178,1.95890411,2.66109589
2/8/1940,-4.2,7,-20.3,-2.2,0,14.5,0,0.8,,,,3,1943,3/1/1943,-7.490322581,5.193548387,-12.30645161,-3.093548387,0.996774194,2.267741935,1.222580645,2.75483871,,,,1978,1/1/1978,2.778356164,9.961643836,1.603287671,6.306027397,1.460821918,2.785753425,1.264383562,1.879452055
2/9/1940,3.6,7.5,-11.1,-12,0,11.7,0,0.3,,,,4,1943,4/1/1943,6.75,9.833333333,4.3,2.866666667,0.24,2.443333333,0.236666667,1.886666667,,,,1979,1/1/1979,3.367123288,10.06,0.829315068,6.952054795,0.781369863,2.701917808,1.291780822,2.408767123
2/10/1940,-3.1,5.6,-7.3,-6.1,0.5,2,0.8,1,,,,5,1943,5/1/1943,7.903225806,11.57419355,9.183870968,12.13548387,1.922580645,2.174193548,2.622580645,3.370967742,,,,1980,1/1/1980,3.971038251,9.833333333,2.616393443,6.67704918,1.219125683,3.87568306,1.107377049,2.316666667
2/11/1940,-2.5,3.6,-7.3,-3.9,0,1.3,0.5,0,,,,6,1943,6/1/1943,11.05,14.91333333,14.8,20.15,2.34,0.52,3.23,1.51,,,,1981,1/1/1981,5.898082192,10.46493151,4.444109589,7.180273973,1.389863014,3.997808219,1.314246575,2.165205479
2/12/1940,-7.5,5.9,-12.5,-1.4,0,17.8,0,0.3,,,,7,1943,7/1/1943,17.35483871,17.3516129,21.50322581,20.94516129,0.980645161,0.722580645,2.832258065,2.793548387,,,,1982,1/1/1982,2.372876712,9.620821918,1.96,6.906575342,1.153150685,3.452328767,1.324931507,2.321643836
2/13/1940,-4.2,6.1,-6.1,-8.4,0,2.8,0,0,,,,8,1943,8/1/1943,15.6483871,16.96774194,18.57419355,19.88709677,1.638709677,1.735483871,2.380645161,1.587096774,,,,1983,1/1/1983,4.268219178,10.39753425,3.564657534,7.821643836,0.807671233,4.080821918,1.31369863,2.179726027
2/14/1940,-3.4,4.8,-5.6,-8.1,0,0,0.8,0,,,,9,1943,9/1/1943,11.98333333,14.70333333,11.97666667,14.51333333,0.533333333,1.156666667,1.33,1.173333333,,,,1984,1/1/1984,4.144808743,9.792622951,3.26010929,7.305737705,1.003278689,3.884972678,1.656830601,1.96010929
2/15/1940,-7.2,5.3,-4.2,-8.3,0,4.8,3,0,,,,10,1943,10/1/1943,7.235483871,10.77096774,8.306451613,8.277419355,0.851612903,4.14516129,0.380645161,2.370967742,,,,1985,1/1/1985,3.855616438,8.924383562,1.481643836,7.26109589,1.064931507,2.218082192,1.497808219,2.564931507
2/16/1940,-5.6,4.8,-7.8,-10.3,0,8.6,1.3,0,,,,11,1943,11/1/1943,2.23,7.01,-3.516666667,1.883333333,0,1.996666667,0.186666667,1.356666667,,,,1986,1/1/1986,5.372054795,10.45123288,3.228493151,7.626027397,1.266575342,3.33890411,1.290410959,2.606027397
2/17/1940,-7.8,7.5,-15.3,-6.1,0,0.8,0,0,,,,12,1943,12/1/1943,-0.703225806,3.003225806,-10.38064516,-4.751612903,0.058064516,3.570967742,0.238709677,0.5,,,,1987,1/1/1987,6.778356164,11.02821918,5.496164384,8.609863014,0.963835616,2.568493151,1.256438356,1.946849315
2/18/1940,-8.1,7.2,-11.4,-5,6.1,1.3,0,1,,,,1,1944,1/1/1944,-3.912903226,4.109677419,-10.58387097,-2.690322581,0.180645161,4.516129032,0.461290323,0.651612903,,,,1988,1/1/1988,5.63715847,10.50218579,3.679234973,7.893715847,1.105737705,3.419672131,1.040163934,1.650273224
2/19/1940,-10.8,6.1,-6.4,0.3,2,0,0.8,7.4,,,,2,1944,2/1/1944,-7.303448276,4.362068966,-16.46896552,-6.017241379,0.810344828,3.051724138,0.6,2.189655172,,,,1989,1/1/1989,3.985479452,10.20383562,1.940547945,7.083561644,1.06456044,2.965205479,1.207945205,1.724931507
2/20/1940,-12,5.6,-12.8,0.9,0.8,0,1.3,0,,,,3,1944,3/1/1944,-5.15483871,5.84516129,-10.58709677,-3.541935484,0.858064516,1.364516129,1.635483871,2.629032258,,,,1990,1/1/1990,4.537260274,10.26575342,3.275068493,8.764657534,1.090958904,3.680547945,1.077260274,2.23369863
2/21/1940,-10.6,3.1,-11.1,-7,2.3,0,0,0,,,,4,1944,4/1/1944,6.39,9.9,4.886666667,4.27,0.67,2.043333333,0.27,2.756666667,,,,1991,1/1/1991,5.03369863,10.19342466,3.537260274,8.954246575,1.113972603,3.175616438,1.693424658,2.083287671
2/22/1940,-19.5,4.5,-21.7,-6.4,1.5,0,0,0,,,,5,1944,5/1/1944,11.39354839,12.14193548,13.42258065,15.21935484,2.212903226,1.051612903,1.564516129,4.448387097,,,,1992,1/1/1992,5.648450704,11.13977901,3.149719101,7.14432133,1.390140845,3.136740331,1.328932584,2.572299169
2/23/1940,-23.1,1.4,-24.8,-5,0.3,6.9,0,2.5,,,,6,1944,6/1/1944,12.97,15.41333333,15.7,18.63333333,2.753333333,0.603333333,5.703333333,3.41,,,,1993,1/1/1993,4.639344262,10.06213873,3.041584158,7.634193548,1.222295082,2.419075145,1.620792079,1.868387097
2/24/1940,-25.6,5,-23.1,-3.1,0,0,0,5.1,,,,7,1944,7/1/1944,15.57096774,17.80645161,19.12903226,20.97096774,3.964516129,0.274193548,1.296774194,2.909677419,,,,1994,1/1/1994,4.392054795,10.80410959,3.063561644,7.41890411,0.972876712,3.060547945,1.863835616,1.972054795
2/25/1940,-21.7,3.1,-18.6,-15,1,9.1,0,0,,,,8,1944,8/1/1944,14.54193548,17.08064516,17.68064516,21.34516129,1.24516129,0.583870968,4.45483871,1.774193548,,,,1995,1/1/1995,3.435616438,11.09612188,2.072054795,7.887945205,1.136438356,3.525761773,1.218356164,2.542739726
2/26/1940,-23.1,5.3,-16.4,-14.5,0,2.5,4.6,0,,,,9,1944,9/1/1944,11.86333333,15.50666667,12.95333333,15.77666667,0.916666667,3.036666667,1.293333333,2.133333333,,,,1996,1/1/1996,1.655342466,9.773553719,0.188251366,7.190983607,1.031232877,3.996721311,1.840983607,2.649726776
2/27/1940,-22,6.7,-16.7,-11.9,0,0.8,0.3,2.5,,,,10,1944,10/1/1944,9.738709677,11.14516129,7.112903226,8.983870968,0.14516129,3.803225806,0.867741935,0.561290323,,,,1997,1/1/1997,4.3,10.79753425,2.374246575,7.59890411,1.164931507,4.169315068,1.332328767,1.722191781
2/28/1940,-17.2,7.2,-19.2,-6.4,0.3,2.8,0.3,0,,,,11,1944,11/1/1944,-2.013333333,7.47,-2.346666667,3.35,0.24,5.163333333,1.55,1.423333333,,,,1998,1/1/1998,4.559178082,11.3539726,4.681917808,10.20465753,1.473150685,3.179452055,1.42,1.868767123
2/29/1940,-6.4,10.3,-14.7,-7.5,0,2,0,1.8,,,,12,1944,12/1/1944,-5.003225806,2.867741935,-12.25483871,-5.664516129,0.167741935,2.006451613,0.570967742,2.283870968,,,,1999,1/1/1999,5.130136986,10.28657534,4.462876712,9.508219178,1.256438356,3.820273973,1.455068493,1.813150685
3/1/1940,1.1,8.9,-12.5,-8.1,0,13.5,0,0,,,,1,1945,1/1/1945,-7.277419355,4.774193548,-15.66129032,-11.92580645,0.596774194,4.948387097,0.522580645,1.3,,,,2000,1/1/2000,3.669945355,10.13142077,3.483606557,8.271584699,1.127322404,2.761748634,1.96284153,2.064754098
3/2/1940,2.5,6.7,-5.9,-7.8,0.3,0,0,0,,,,2,1945,2/1/1945,-7.589285714,5.153571429,-13.59285714,-5.996428571,1.103571429,4.332142857,0.582142857,1.707142857,,,,2001,1/1/2001,5.006849315,10.25753425,4.634657534,9.702739726,0.872328767,3.228767123,1.51260274,1.891506849
3/3/1940,-2.8,8.1,-6.1,-4.4,0,7.4,0,8.6,,,,3,1945,3/1/1945,-0.612903226,5.841935484,-1.432258065,5.058064516,1.219354839,3.980645161,2.280645161,3.677419355,,,,2002,1/1/2002,3.727123288,10.35247253,3.267534247,9.476712329,0.943835616,2.349589041,1.313835616,1.813424658
3/4/1940,5,8.4,-7.2,0.3,0.5,15,0,6.1,,,,4,1945,4/1/1945,-0.723333333,7.983333333,0.15,7.646666667,1.313333333,2.223333333,1.4,2.77,,,,2003,1/1/2003,4.303287671,10.96164384,3.800821918,7.983835616,1.178082192,3.030410959,1.184520548,2.45369863
3/5/1940,2.3,7,-2.2,-0.3,0.3,0,0,0,,,,5,1945,5/1/1945,8.180645161,13.35483871,7.129032258,9.451612903,2.677419355,0.825806452,1.287096774,4.687096774,,,,2004,1/1/2004,4.937978142,11.45163934,2.675956284,8.24863388,1.056830601,3.307650273,1.880874317,2.06284153
3/6/1940,3.1,8.1,0,-3.1,0,8.4,3,0.3,,,,6,1945,6/1/1945,11.69666667,14.86666667,15.14,16.67333333,2.133333333,0.426666667,1.683333333,2.716666667,,,,2005,1/1/2005,4.935068493,10.85753425,4.200273973,9.066849315,1.478356164,3.329315068,1.833013699,2.100547945
3/7/1940,1.4,6.4,-2.5,-5.3,2.5,8.9,0,0,,,,7,1945,7/1/1945,16.88387097,17.5483871,18.8483871,19.64516129,1.809677419,0.661290323,2.187096774,3.809677419,,,,2006,1/1/2006,5.32,10.69753425,5.38739726,9.791780822,1.149589041,3.353972603,0.875824176,2.371780822
3/8/1940,-2.5,6.7,-3.6,-5.3,2.3,1.5,0,0,,,,8,1945,8/1/1945,16.06451613,16.99354839,18.76129032,19.9,3.225806452,0.95483871,1.783870968,1.587096774,,,,2007,1/1/2007,4.838082192,10.24767123,3.630136986,9.004383562,1.40109589,3.623013699,1.403287671,1.623835616
3/9/1940,-6.4,5.8,-7.8,-4.7,2.5,1.5,0,0.5,,,,9,1945,9/1/1945,9.28,13.02,11.25333333,15.91666667,2.553333333,2.33,4.37,4.293333333,,,,2008,1/1/2008,4.528961749,9.851912568,2.577185792,8.272404372,1.373224044,2.80273224,1.656986301,2.867759563
3/10/1940,-10.6,6.1,-11.7,-10,0.5,0.8,0,0,,,,10,1945,10/1/1945,6.44516129,10.20645161,5.029032258,8.370967742,0.806451613,4.312903226,0.658064516,1.84516129,,,,2009,1/1/2009,3.994246575,10.26986301,3.707123288,8.033150685,0.898630137,2.987945205,1.488662791,2.476712329
3/11/1940,-11.4,6.1,-10,-12.2,0.3,0,0,0,,,,11,1945,11/1/1945,-8.763333333,5.16,-6.816666667,3.34,1.43,6.29,1.313333333,1.823333333,,,,2010,1/1/2010,4.527123288,11.00246575,5.74532967,9.612876712,1.245205479,3.306849315,2.101572327,2.156712329
3/12/1940,-6.7,6.1,-8.1,-12.3,0,0,0,0,,,,12,1945,12/1/1945,-9.751612903,3.64516129,-16.29354839,-6.119354839,0.858064516,4.1,0.925806452,1.351612903,,,,2011,1/1/2011,4.215342466,9.957534247,5.219327731,9.179178082,1.42,2.92739726,0.91779661,2.566575342
3/13/1940,-2.5,7.5,-10,-7.2,0,4.6,0,2.5,,,,1,1946,1/1/1946,-5.574193548,4.4,-17.09032258,-5.322580645,0.219354839,5.774193548,0.509677419,3.151612903,,,,2012,1/1/2012,5.198265896,10.37076503,6.307627119,10.5352459,1.440869565,3.309562842,1.499423631,1.998907104
3/14/1940,3.1,8.4,-9.5,-1.7,0,10.2,0,11.2,,,,2,1946,2/1/1946,-5.535714286,4.942857143,-17.38928571,-6.910714286,0.210714286,5.635714286,0.542857143,2.075,,,,2013,1/1/2013,5.698688525,10.34705882,3.034357542,8.393314763,1.600327869,2.60505618,1.34056338,2.646498599
3/15/1940,7.5,8.9,-6.4,-7.2,0,5.6,0,0.3,,,,3,1946,3/1/1946,1.35483871,6.329032258,-1.222580645,5.161290323,0.622580645,4.896774194,0.864516129,0.922580645,,,,2014,1/1/2014,4.408219178,11.01291209,2.776648352,7.483013699,1.086908078,3.511420613,1.402694611,2.010410959
3/16/1940,2.8,8.6,-6.7,-5.8,1.3,0,0,0,,,,4,1946,4/1/1946,6.976666667,8.673333333,6.743333333,6.036666667,0.05,4.24,0.543333333,0.566666667,,,,2015,1/1/2015,6.280821918,11.43269231,5.652341598,8.645753425,1.222777778,3.16232687,1.814845938,1.886312849
3/17/1940,0.6,6.7,-1.4,-2.3,0,0,1,0,,,,5,1946,5/1/1946,8.764516129,13.64193548,10.23225806,11.55666667,1.738709677,0.270967742,0.480645161,3.080645161,,,,2016,1/1/2016,6.238461538,11.19614325,6.027094972,10.08770492,1.433333333,3.659279778,1.727247191,1.732417582
3/18/1940,1.7,7,-3.6,-5.6,0.3,0,0.5,3.3,,,,6,1946,6/1/1946,12.33666667,14.8,16.04333333,17.11,3.183333333,3.21,2.22,1.456666667,,,,2017,1/1/2017,5.098270893,10.23102493,5.005833333,9.336813187,1.048484848,3.409668508,1.145352113,2.324175824
3/19/1940,-5.8,5.9,-10,-1.1,0.5,0,0,0,,,,7,1946,7/1/1946,17.0483871,17.20322581,20.29032258,20.50666667,2.129032258,1.370967742,1.238709677,2.561290323,,,,2018,1/1/2018,4.378932584,10.79642857,4.100277778,9.1,1.167032967,3.690659341,1.128333333,2.431318681
3/20/1940,-3.1,6.7,-15,-6.1,0.5,0,0,7.4,,,,8,1946,8/1/1946,14.76451613,16.66774194,17.88387097,18.18387097,2.790322581,0.467741935,1.751612903,1.225806452,,,,2019,1/1/2019,3.690782123,10.35055249,3.364917127,8.14738292,1.448484848,2.645753425,1.488736264,2.551648352
3/21/1940,-5.3,5.6,-18.1,-7.8,2.5,0,0,0,,,,9,1946,9/1/1946,11.25333333,14.47,12.32666667,16.28,1.48,0.973333333,2.73,2.456666667,,,,2020,1/1/2020,,,,,,,,
