LOCAL_DATE,MEAN_TEMPERATURE_CALGARY,MEAN_TEMPERATURE_VANCOUVER,MEAN_TEMPERATURE_WINNIPEG,MEAN_TEMPERATURE_TORONTO,TOTAL_PRECIPITATION_CALGARY,TOTAL_PRECIPITATION_VANCOUVER,TOTAL_PRECIPITATION_WINNIPEG,TOTAL_PRECIPITATION_TORONTO
2/18/1940,-8.1,7.2,-11.4,-5,6.1,1.3,0,1
2/19/1940,-10.8,6.1,-6.4,0.3,2,0,0.8,7.4
2/20/1940,-12,5.6,-12.8,0.9,0.8,0,1.3,0
2/21/1940,-10.6,3.1,-11.1,-7,2.3,0,0,0
2/22/1940,-19.5,4.5,-21.7,-6.4,1.5,0,0,0
2/23/1940,-23.1,1.4,-24.8,-5,0.3,6.9,0,2.5
2/24/1940,-25.6,5,-23.1,-3.1,0,0,0,5.1
2/25/1940,-21.7,3.1,-18.6,-15,1,9.1,0,0
2/26/1940,-23.1,5.3,-16.4,-14.5,0,2.5,4.6,0
2/27/1940,-22,6.7,-16.7,-11.9,0,0.8,0.3,2.5
2/28/1940,-17.2,7.2,-19.2,-6.4,0.3,2.8,0.3,0
2/29/1940,-6.4,10.3,-14.7,-7.5,0,2,0,1.8
3/1/1940,1.1,8.9,-12.5,-8.1,0,13.5,0,0
3/2/1940,2.5,6.7,-5.9,-7.8,0.3,0,0,0
3/3/1940,-2.8,8.1,-6.1,-4.4,0,7.4,0,8.6
3/4/1940,5,8.4,-7.2,0.3,0.5,15,0,6.1
3/5/1940,2.3,7,-2.2,-0.3,0.3,0,0,0
3/6/1940,3.1,8.1,0,-3.1,0,8.4,3,0.3
3/7/1940,1.4,6.4,-2.5,-5.3,2.5,8.9,0,0
3/8/1940,-2.5,6.7,-3.6,-5.3,2.3,1.5,0,0
3/9/1940,-6.4,5.8,-7.8,-4.7,2.5,1.5,0,0.5
3/10/1940,-10.6,6.1,-11.7,-10,0.5,0.8,0,0
3/11/1940,-11.4,6.1,-10,-12.2,0.3,0,0,0
3/12/1940,-6.7,6.1,-8.1,-12.3,0,0,0,0
3/13/1940,-2.5,7.5,-10,-7.2,0,4.6,0,2.5
3/14/1940,3.1,8.4,-9.5,-1.7,0,10.2,0,11.2
3/15/1940,7.5,8.9,-6.4,-7.2,0,5.6,0,0.3
3/16/1940,2.8,8.6,-6.7,-5.8,1.3,0,0,0
3/17/1940,0.6,6.7,-1.4,-2.3,0,0,1,0
3/18/1940,1.7,7,-3.6,-5.6,0.3,0,0.5,3.3
3/19/1940,-5.8,5.9,-10,-1.1,0.5,0,0,0
3/20/1940,-3.1,6.7,-15,-6.1,0.5,0,0,7.4
3/21/1940,-5.3,5.6,-18.1,-7.8,2.5,0,0,0
3/22/1940,-12.5,6.7,-18.9,-7.8,1.3,0,0,0
3/23/1940,-12,8.1,-18.1,-14.5,1,4.3,0,0
3/24/1940,-10.9,10,-15.6,-12.3,0.5,0,0,0
3/25/1940,-8.9,8.9,-13.7,-8.9,2.3,2.5,0,0
3/26/1940,-8.1,9.7,-11.4,-5.3,0.3,23.9,0,3.8
3/27/1940,-4.7,10.3,-8.1,-1.4,1.3,7.6,0,4.3
3/28/1940,-4.2,10.3,-2.5,-3.4,0,0,11.9,0
3/29/1940,2.2,9.2,-3.4,2.8,0,7.6,0,0
3/30/1940,0,11.1,-3.1,4.5,0,0.3,0,0
3/31/1940,-2.2,8.4,-5.6,3.6,0,0,0,0
4/1/1940,-3.1,7.8,-3.9,1.4,6.1,0,0,0
4/2/1940,-3.9,7.5,-0.3,1.4,7.1,0,0,0
4/3/1940,-4.5,7.5,0,1.4,1.8,0,8.9,7.6
4/4/1940,-3.7,8.4,-1.4,4.5,0.5,0,0,0.5
4/5/1940,-3.6,10.6,-0.8,0.9,0,0,0,0
4/6/1940,-2.3,12,0.6,4.5,0,8.6,3.8,0
4/7/1940,0.3,10.3,4.5,3.9,3,3,0.3,4.6
4/8/1940,-3.9,9.5,-2.8,7.5,1,4.3,0,15.5
4/9/1940,-5.6,12,-3.6,3.9,6.4,0,0,0
4/10/1940,-8.9,10.3,-9.8,2,6.4,0,0,0
4/11/1940,-7.5,11.7,-6.9,4.5,0,0,0,6.4
4/12/1940,6.1,15,-2.5,-4.8,0,2.8,0,0
4/13/1940,13.1,13.9,0.6,-4.5,0,0,0,0
4/14/1940,5.9,10.3,6.4,-3.4,0.8,0,0,0
4/15/1940,0.6,8.9,2.5,1.2,0,0,0,0
4/16/1940,3.9,9.7,0.9,4.7,0,2.8,0,0
4/17/1940,9.2,11.1,2.5,4.5,0,1,0,10.9
4/18/1940,10.3,12.3,10,9.2,0.5,0,0,4.1
4/19/1940,6.2,10.6,9.5,5,0,0,0,0
4/20/1940,1.4,11.4,10.3,6.4,29.2,0,0,0
4/21/1940,0.6,8.9,10.6,6.4,10.4,0,0.3,0
4/22/1940,1.4,12.8,3.1,3.3,1.5,0,0,0
4/23/1940,0.6,13.1,2.8,5,5.8,6.1,0,0
4/24/1940,0.8,11.1,2,5.3,0.3,4.8,0,0
4/25/1940,0.6,10.9,4.2,5.9,0,0,0,0.3
4/26/1940,4.2,12.5,7.8,6.7,0,4.1,0,0
4/27/1940,5,10.8,8.1,6.9,0,11.4,14,0
4/28/1940,8.1,10.6,8.4,7.2,0,0.3,13.2,0
4/29/1940,5.9,10.6,4.7,8.6,9.1,0,1.5,0
4/30/1940,3.9,9.2,1.7,13.9,0,17.5,0,1
5/1/1940,10.6,14.2,2.8,13.1,0,8.1,0,14.2
5/2/1940,13.4,12.5,5.6,6.1,0,1.8,0,2
5/3/1940,7.8,13.1,7,5.3,5.1,0,0.3,2.5
5/4/1940,5,10.6,16.1,7.5,0.8,7.4,0,0
5/5/1940,5.9,12.3,5.9,10,0.3,0,11.7,2.8
5/6/1940,8.6,12.5,3.4,16.2,3,0,0,0
5/7/1940,7.8,11.1,3.9,10.6,0,0.3,0,0
5/8/1940,9.8,13.6,8.1,8.4,0,5.6,0.3,0
5/9/1940,12.2,14.7,9.8,9.5,0,0,0,0
5/10/1940,16.1,15.6,10.6,10,0,1.3,0,0
5/11/1940,13.6,13.1,18.9,7.8,0,0,0,0
5/12/1940,9.2,11.4,18.6,6.2,3.8,0,0,11.9
5/13/1940,7.5,13.1,8.1,13.1,0,0.3,1.8,1.3
5/14/1940,9.5,14.8,6.4,13.1,0,1,0,0.5
5/15/1940,11.7,14.5,5.3,14.5,0,0,0,4.3
5/16/1940,7,13.9,9.5,9.5,3.3,0,0.3,4.1
5/17/1940,10.3,13.9,14.5,9.5,0,0,7.9,0.8
5/18/1940,15,14.7,12,10.9,0.5,1,2,0
5/19/1940,12.8,16.1,13.6,9.2,1.3,0,0,14.5
5/20/1940,11.7,12,14.2,13.9,0,0,0,0
5/21/1940,13.6,14.5,11.7,13.9,0,0,0,0
5/22/1940,15.9,15.9,11.4,15.9,0,0,0,11.7
5/23/1940,18.4,16.2,8.6,14.5,0,0,0,12.7
5/24/1940,18.4,13.9,9.2,11.1,0,0,0,25.9
5/25/1940,15,13.1,10.6,13.1,0,0,0,0
5/26/1940,10,10.6,12,15.9,3.8,0,0,7.1
5/27/1940,10,11.7,16.1,14.4,3.3,0,0,0
5/28/1940,10.6,12.3,17.8,14.5,0,0,0,0.3
5/29/1940,14.5,14.5,18.4,13.9,0,0,0,1
5/30/1940,14.7,14.2,18.9,15.6,2.3,13.5,0,0
5/31/1940,17,13.4,21.1,13.7,0,21.3,5.6,5.8
6/1/1940,7.8,14.7,21.1,13.7,3.3,0,0,0
6/2/1940,9.2,16.2,13.1,18.1,4.8,0,3.6,0
6/3/1940,11.4,14.5,11.7,21.1,0,0,0,0
6/4/1940,12,13.1,15,22.8,0,0,0,0
6/5/1940,10.3,13.9,18.6,23.4,0.3,0.3,3,0
6/6/1940,9.8,13.4,18.4,15,5.8,5.1,2.5,0
6/7/1940,8.6,15,12,17.8,9.7,0,0,1.3
6/8/1940,11.4,15,13.4,19.7,0,0,7.1,6.9
6/9/1940,12.8,16.7,15.3,18.1,0,0,14.7,0
6/10/1940,14.8,17,10.3,18.6,0,0,0,22.6
6/11/1940,16.7,18.9,18.9,21.4,0,0,15.7,0
6/12/1940,18.9,18.1,20.3,19.2,1.5,0,0,1.8
6/13/1940,18.6,17.5,12.8,19.8,0,0,2.3,0
6/14/1940,14.8,14.8,17.8,14.5,0,0,1.3,0
6/15/1940,14.4,16.4,16.4,18.1,0,0,0.5,0
6/16/1940,13.1,15.6,20.3,14.8,0,0,0,0
6/17/1940,14.2,15.3,17.3,,0,0,4.6,0
6/18/1940,13.6,16.1,13.6,22,0,0,0,7.9
6/19/1940,17,17,8.9,17,0,0,0,0
6/20/1940,17.5,14.5,10,8.3,11.4,0,0.3,0
6/21/1940,11.4,14.4,12.8,12.8,2,0,13,0
6/22/1940,12,14.5,13.6,11.1,0,0,8.6,0
6/23/1940,13.3,16.4,16.4,12,0,0,4.3,13.7
6/24/1940,15.3,18.1,15.6,14.2,0,0,0,2.5
6/25/1940,16.7,17.2,13.1,15.6,0,0,0,0
6/26/1940,13.4,14.4,14.5,13.9,1.3,0,1.5,4.8
6/27/1940,11.4,14.5,16.7,14.8,5.3,0,36.8,0
6/28/1940,13.4,15.8,15.3,13.3,0,0,0,21.8
6/29/1940,14.5,16.4,13.9,15.6,0,0,0.5,0
6/30/1940,16.7,17.8,15,14.2,0,0,0,2.8
7/1/1940,16.7,18.6,13.4,14.2,0,0,0,9.1
7/2/1940,20.6,18.9,17,14.7,0,0,0,0
7/3/1940,20.3,14.7,17.5,14.7,0,0,0,0
7/4/1940,16.7,18.4,23.1,18.9,8.6,0,0,6.1
7/5/1940,10.3,15.9,25.6,17.5,20.3,0,6.4,0
7/6/1940,13.1,15.6,21.1,17.5,5.1,0,0.5,0
7/7/1940,16.1,17.3,19.8,19.5,0,0,0,0
7/8/1940,16.1,16.4,20,21.4,0,0,0,0
7/9/1940,15.3,15.9,21.7,21.7,0.8,0.3,0,0
7/10/1940,16.4,16.7,15.3,21.2,0.3,8.9,0,0
7/11/1940,17.8,18.1,14.2,15.3,0,0,0,22.4
7/12/1940,19.7,18.3,18.1,15.3,0,0,0,0
7/13/1940,17.8,18.1,22.5,15.6,12.7,0,6.4,0
7/14/1940,10,17.8,16.4,17.5,0,0,0,0
7/15/1940,17,17.2,15.6,21.7,10.7,0,0,5.3
7/16/1940,17.8,15.9,21.7,17.5,4.3,0,0,0
7/17/1940,16.7,17,22,17.3,19.1,0,0,0
7/18/1940,17,18.4,22.2,18.7,0,0,0,0
7/19/1940,18.6,17.5,23.9,21.9,0,0,0,6.9
7/20/1940,18.6,19.7,26.4,24.7,0,0,0,10.7
7/21/1940,19.8,18.1,26.4,24.7,0,0,0,0
7/22/1940,18.6,17.5,28.9,23.9,0,0,2,5.3
7/23/1940,17,17.5,24.8,25.3,4.3,0.3,5.1,0
7/24/1940,14.2,17,23.6,26.1,11.9,0.3,0,0
7/25/1940,11.7,18.1,18.3,25.3,4.3,3.6,0,4.8
7/26/1940,13.4,17.2,16.7,26.1,0,13,0,0
7/27/1940,13.3,19.5,16.7,23.4,0,0,2.8,0
7/28/1940,12.8,17.2,18.6,22.8,0,4.8,0.5,0
7/29/1940,17.2,17.8,17.8,23.3,0,6.1,0,0.3
7/30/1940,17.8,17.2,18.1,26.7,0,0,0,0
7/31/1940,16.1,16.2,20.3,20,0,0,5.8,0
8/1/1940,15.6,17,24.7,19.5,0,0,3.3,0
8/2/1940,14.2,17.3,20.6,18.6,0,0,4.1,0
8/3/1940,12.2,17,21.4,21.7,4.6,0,0,0
8/4/1940,14.2,16.7,22,24.7,0,0,0,6.6
8/5/1940,14.7,19.2,20.3,25.3,0,0,0,18.3
8/6/1940,19.2,18.3,22,23.1,0,0,0,0
8/7/1940,18.3,18.4,25.6,19.5,0,0,0,0
8/8/1940,19.2,20.8,21.4,19.5,0,0,0,0
8/9/1940,22,18.4,24.2,20.8,0,3.6,0,0
8/10/1940,16.4,17.8,25,21.4,0,0,0,0
8/11/1940,17.3,17.5,24.7,21.7,0,0,0,0
8/12/1940,21.1,17.8,25,22.8,0,0,0,3
8/13/1940,13.3,17.2,27.5,25.6,0,0,0,0
8/14/1940,16.1,16.2,27.5,21.7,0,0,17.5,0
8/15/1940,12,15.9,24.5,19.5,0,0,0,0
8/16/1940,13.1,15.9,18.9,21.1,0,0,0,0
8/17/1940,13.9,17.2,17.8,22.5,0,0,0,0
8/18/1940,15,19.5,14.8,25,0,0,0,9.9
8/19/1940,17.3,18.1,16.2,18.1,0,0,0,0
8/20/1940,17.2,17.8,21.7,14.2,0,0,0,0
8/21/1940,18.1,16.1,13.4,11.9,0,1.5,2.5,0
8/22/1940,17.8,16.1,9.2,15,0,5.8,0,0
8/23/1940,14.5,17.5,10.9,13.6,0,0,0,0
8/24/1940,18.1,18.6,13.9,12,0,0,3,0
8/25/1940,15,18.9,15.3,11.1,0.5,0,0,0
8/26/1940,18.4,14.8,15.6,14.5,0,10.9,0,0
8/27/1940,16.4,18.1,18.3,15.6,0,3.3,0,0
8/28/1940,13.1,17.3,18.6,16.4,0,0,1.5,0
8/29/1940,15.8,16.7,17.5,20.6,0,0,0,16.3
8/30/1940,18.9,17.5,17.5,21.7,0,0.8,0,27.2
8/31/1940,22.3,17.5,15.6,22,0,3.8,0,2.8
9/1/1940,18.4,18.3,19.8,18.1,0,0,0,0.3
9/2/1940,16.1,15.6,22,17,0,0,0,10.2
9/3/1940,16.9,14.7,21.1,18.6,0,0,0,0
9/4/1940,15.6,16.1,26.4,18.9,17.5,0,9.7,0
9/5/1940,12,15,26.4,16.4,29.2,0,0,0
9/6/1940,14.5,15,19.4,17.3,4.6,0,1,4.1
9/7/1940,10.9,17.8,19.2,15.9,0.5,0,0,19.3
9/8/1940,10.6,17.8,12.8,17.2,1.8,0,2.8,16
9/9/1940,12.5,16.2,10.3,17.5,0,0,0,8.9
9/10/1940,14.2,18.6,9.2,12.5,0,0,0,0
9/11/1940,17.2,17.5,8.6,9.7,0,6.1,0,0
9/12/1940,16.1,18.7,15.3,10.8,0,6.1,0,2
9/13/1940,17.8,18.9,12,13.6,0,2.8,0,0
9/14/1940,13.1,17.3,12.2,14.5,6.1,0.3,0,22.4
9/15/1940,12.8,17.2,20,14.5,0,0,0,0.3
9/16/1940,13.9,15.3,21.7,15.6,0,0,4.3,0
9/17/1940,12.8,15.3,21.2,17,0,13.5,0,0
9/18/1940,10.3,13.4,19.8,15.9,0,0,2.3,0.5
9/19/1940,12.3,12.5,22.3,17.3,0,0,0,1.3
9/20/1940,13.1,11.4,20.6,22,0,0,0,0
9/21/1940,13.6,13.3,16.2,21.1,0,0,0,6.6
9/22/1940,11.1,15.3,17.8,17.8,14.7,0,1.5,0
9/23/1940,11.4,15.6,17.3,15.8,0,0,4.3,0
9/24/1940,8.6,17,6.1,14.2,0,0,0,10.7
9/25/1940,11.7,15.8,7,7.5,0,0,0,0
9/26/1940,14.5,15.3,12.8,7.8,0,20.3,0,0
9/27/1940,11.7,16.1,15.9,10.6,0,2.3,0,0
9/28/1940,11.1,15.3,13.6,12.2,0,0,0,0
9/29/1940,11.1,14.8,14.5,13.9,0,0,0,0
9/30/1940,10.8,15,17.8,11.1,0,0,0,0
10/1/1940,7.2,12.8,20.3,11.4,4.6,0,0,0
10/2/1940,7.2,10,15.3,15.6,10.2,0,0.5,0
10/3/1940,8.4,13.1,13.9,16.4,0.3,0,10.9,0
10/4/1940,8.6,12.8,14.7,10,5.1,0,7.1,0
10/5/1940,7.2,12.3,12.5,11.1,0,0,3,1
10/6/1940,8.4,12.8,12.5,17.3,0,0,0,2
10/7/1940,10.6,14.7,7.8,13.7,0,0,0,4.8
10/8/1940,11.4,13.3,7.2,10.3,0,0,0,0
10/9/1940,6.4,12.2,12.8,9.2,0,45,0,0
10/10/1940,11.4,14.5,11.2,7.8,0,1.5,0,0
10/11/1940,6.7,13.4,17,9.8,0,0,0,0
10/12/1940,5.6,9.8,11.1,14.7,0,0,0,0
10/13/1940,4.5,9.7,7.3,13.6,0,0,0,0
10/14/1940,6.2,13.4,5.3,7,0,0.3,0,25.9
10/15/1940,10.6,12.3,3.9,7.3,0,0,0,0.3
10/16/1940,4.8,10,8.6,1.7,0,0.5,0,0
10/17/1940,11.1,13.4,3.7,5,0,33.3,0,1.5
10/18/1940,12.8,16.7,9.2,2.2,0,35.8,0,0
10/19/1940,16.4,17,5,-1.4,0,0.5,0.3,0
10/20/1940,14.5,17,7,2,0,16.3,0,0.3
10/21/1940,11.7,13.7,10,0.3,0,0,0,0
10/22/1940,4.5,7.8,11.1,2.3,0,1.5,0,1.3
10/23/1940,5,12.5,6.4,10.3,0,13.2,0,0
10/24/1940,9.2,10,7.8,7.2,0,0,0,0
10/25/1940,6.2,10.3,7.3,6.4,0,0.5,0,0
10/26/1940,0,7.3,8.6,4.7,13,0,0,0
10/27/1940,0,7,6.1,2.3,7.6,0,18.8,0
10/28/1940,0.8,9.2,6.7,-0.3,0,9.1,23.4,0
10/29/1940,-2.5,10.3,7,0.3,0,4.8,0,6.9
10/30/1940,3.9,10.3,7,4.7,0,7.9,0,1.5
10/31/1940,4.2,9.2,5.6,5.3,0,2.3,5.3,0
11/1/1940,2,8.1,5.3,4.7,0,6.9,0.8,12.7
11/2/1940,-2.5,7.5,5.3,10,0,0,0,3.3
11/3/1940,-2.8,6.4,5.8,8.1,0.5,0.5,0,0
11/4/1940,-1.7,7.8,2.5,9.2,0,0.5,0,0
11/5/1940,-8.1,7.2,-1.7,10.8,0,11.7,0,2
11/6/1940,-12,7.8,-3.6,2.5,0.5,11.9,3,0
11/7/1940,-15.8,9.5,-1.7,0.8,3.6,3.6,0.5,0
11/8/1940,-20.3,5.8,-2.3,0.3,0.8,0.8,3.3,0
11/9/1940,-19.5,1.4,-9.8,0,0.5,0.3,1.3,0
11/10/1940,-20.8,-1.1,-10.9,5.6,0,0.8,3.8,2
11/11/1940,-20,-0.3,-13.4,11.4,0,0,0.3,30.2
11/12/1940,-14.2,0,-13.3,1.9,0,0,0,0
11/13/1940,-6.4,0.9,-14.5,-0.3,0,0,0,0
11/14/1940,3.9,2.5,-14.4,-1.4,0,0,0,0
11/15/1940,9.2,4.7,-3.6,-1.4,0,0,0,0
11/16/1940,0.9,2.3,2.5,-2.5,0,9.9,0,0.8
11/17/1940,-2.5,5.6,0.6,1.4,1,6.4,0,0.3
11/18/1940,-2,2.5,2,1.4,0,0,0,0
11/19/1940,-0.8,2,0,2.8,0,0,0,0.3
11/20/1940,-1.7,3.1,0,5.8,0.5,1,0,0
11/21/1940,-6.4,1.4,-4.5,6.4,0,0,0,2.3
11/22/1940,-6.7,2.5,-7.5,5.9,0,0,0.3,0
11/23/1940,-6.9,4.2,-3.6,3.3,0,5.6,0,0.3
11/24/1940,-9.5,6.7,-11.1,3.9,0,3.8,0.3,0
11/25/1940,-3.6,7,-8.6,-4.5,0,0,5.6,0
11/26/1940,-7,4.7,-9.7,-2.8,0,4.1,1,16.5
11/27/1940,-8.7,7.2,-18.3,-4.2,0,6.4,0,0
11/28/1940,-10.8,6.7,-22.2,-6.4,0.3,5.6,0,2.5
11/29/1940,-10.3,8.6,-19.7,-3.6,5.1,0.3,0,7.6
11/30/1940,-9.5,5.8,-22.5,-2.8,0,0,0,33.5
12/1/1940,-13.7,5.3,-21.7,-11.7,5.1,6.1,0.3,0.3
12/2/1940,-6.4,9.2,-23.4,-13.9,0,4.3,0,0.5
12/3/1940,3.1,9.5,-19.5,-17.2,0,0,2.3,0.3
12/4/1940,3.1,7.3,-17.3,-14.2,0,22.9,0,7.1
12/5/1940,4.5,8.7,-15,-9.8,0,7.4,0,0
12/6/1940,0.3,6.1,-7.5,-8.9,0,30.2,0,0
12/7/1940,3.1,8.4,-10,0.6,0,42.2,0,0
12/8/1940,1.1,7.5,-7.2,-3.3,1,0.5,7.6,0
12/9/1940,-0.9,4.2,-7.8,-0.3,0,0,1.5,0
12/10/1940,-5,1.4,-8.4,2.8,0.5,0,0.3,0
12/11/1940,-10.9,1.4,-17.8,-0.8,2,0,0,0
12/12/1940,-16.1,1.1,-28.9,-1.4,0,0,0,4.6
12/13/1940,-6.4,-0.9,-21.1,-9.8,0,0,0,0
12/14/1940,-3.9,-2,-12.8,-11.4,0,0,0,0
12/15/1940,-5.6,-2.3,-12.8,-7,0,0,0,6.4
12/16/1940,-9.2,-2.5,-16.4,0,0,0,0,12.2
12/17/1940,-6.1,1.4,-14.8,-6.7,0,3,0,0
12/18/1940,-3.4,8.4,-9.4,-5,0,1.3,0,0
12/19/1940,2.5,9.2,-5.6,-0.9,0,26.7,0,0
12/20/1940,1.1,8.9,-6.7,2,0,4.1,0,0
12/21/1940,2.8,10.6,-6.1,2,0,2.3,0,0
12/22/1940,4.8,8.4,-4.2,1.7,0,0,0,0
12/23/1940,-2.3,5.8,-3.4,-3.7,0,4.8,0,0
12/24/1940,-4.5,8.1,-0.6,-3.1,0,5.3,0,0
12/25/1940,-7.3,8.6,-1.4,2.5,0,4.8,0.5,0
12/26/1940,-2,7.2,-7.8,0.9,0,0,0,3
12/27/1940,-2.2,5.6,-5,2.2,0,19.3,0,6.9
12/28/1940,-4.2,4.5,-2.2,2,0,11.7,3.6,7.1
12/29/1940,-2.2,5,-8.4,2.3,0,0,0.5,32.5
12/30/1940,-9.2,3.3,-3.9,0,0,3.8,0,1.8
12/31/1940,-8.9,2.5,-3.4,-0.3,0,1.3,1.8,0
1/1/1941,-8.7,2.8,-3.4,-3.1,0,0,10.4,0.3
1/2/1941,-10.6,2,-12.5,-0.9,0,0,0.5,6.1
1/3/1941,-12.5,1.2,-15.8,0,0,10.4,0,0
1/4/1941,-19.2,2.5,-14.5,-5,0.5,1.5,0,8.9
1/5/1941,-19.5,0.6,-14.7,-5.6,0,1.3,0,0.3
1/6/1941,-17.8,3.4,-16.4,-6.4,0,2.8,0.8,0
1/7/1941,-17.3,4.2,-11.1,-6.7,0,1.5,3.8,0
1/8/1941,-9.7,5.6,-24.7,-7,0,16.8,0,6.4
1/9/1941,0.9,7.5,-6.4,-2,0,1.8,0.3,0.3
1/10/1941,4.5,8.6,-14.8,-3.1,0,0,0,2
1/11/1941,4.5,7.8,-10.3,-4.7,0,0,0,0
1/12/1941,-2.3,5.3,-12.5,-3.6,0,1.5,0.3,0
1/13/1941,0,8.4,-16.1,-12.8,0,0.3,2,0
1/14/1941,-4.5,4.2,-12.8,-17.5,5.1,1.5,4.3,0
1/15/1941,-12.8,6.1,-8.9,-12,0.5,11.7,4.3,0.8
1/16/1941,-15.9,6.7,-11.4,-7.2,0.3,10.4,0.3,10.2
1/17/1941,-10.9,7.8,-25,-0.3,0,29.7,0,2.3
1/18/1941,-4.7,8.1,-25,-0.8,0,2,0,0.8
1/19/1941,-0.6,7.2,-14.7,-11.4,0,0,0,0
1/20/1941,-4.2,2.5,-13.9,-14.2,1.3,0,0.3,0
1/21/1941,-7.8,1.4,-19.8,-7.5,0.3,0,0,0.8
1/22/1941,-10.9,2.3,-24.2,0.3,2.5,0,0,5.1
1/23/1941,-22,3.4,-24.2,-8.6,0.5,0,0.8,0
1/24/1941,-27,5.3,-20.6,-11.4,0.8,6.9,0.5,6.4
1/25/1941,-13.9,7,-28.9,-8.1,0,2.8,0,0
1/26/1941,-11.7,6.1,-18.4,-9.5,0,0,1,7.6
1/27/1941,-2.8,8.7,-22,-8.9,0,0.3,0,2.8
1/28/1941,5.3,9.2,-16.1,-5,0,1.5,0,6.9
1/29/1941,-0.3,5,-7,-12,0,0,0,1.3
1/30/1941,5.6,8.6,-7.8,-8.1,0,5.6,0,2.3
1/31/1941,1.7,7.8,-2.3,-8.6,0,22.4,0,0
2/1/1941,2.2,11.1,-7,-5.6,0,8.9,0,0
2/2/1941,4.5,8.1,-9.8,-3.1,0,3,0,0
2/3/1941,-0.3,8.1,-7,-8.6,0,2.8,0,0
2/4/1941,5.6,10,-7,-13.9,0,0.3,0,0
